Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('HORSE', 'MULE')",1,0.08850000000000001,507.5,21.0
"('GIVE', 'SEND')",1,0.032,562.0,2.0
"('PIG', 'TAIL')",1,0.0055,521.0,1.0
"('CAVE', 'MAN')",1,0.045,574.5,26.0
"('PITY', 'REGRET')",1,0.005,522.5,43.0
"('CLOTH', 'FELT')",1,0.017,532.5,143.0
"('FACE', 'JAW')",1,0.0105,570.5,18.0
"('APPLE', 'FRUIT')",1,0.1885,594.0,8.0
"('CHOOSE', 'WANT')",1,0.0055,570.0,6.0
"('FALL', 'STAND')",1,0.0335,568.0,41.0
"('BACK', 'SHOULDER')",1,0.007,570.0,49.0
"('COIN', 'SILVER')",1,0.0185,546.0,17.0
"('HOOK', 'LATCH')",1,0.046,464.5,53.0
"('BEAT', 'POUND')",1,0.0315,577.0,154.0
"('BOWL', 'POT')",1,0.0125,567.0,9.0
"('HUNT', 'KILL')",1,0.114,536.0,30.0
"('HIGH', 'TOP')",1,0.017,591.5,64.0
"('FIGHT', 'QUARREL')",1,0.3595,512.0,76.0
"('PART', 'PIECE')",1,0.2235,545.0,45.0
"('EGG', 'YOLK')",1,0.45899999999999996,539.5,20.0
"('BED', 'NEST')",1,0.007,578.5,78.0
"('YELLOW', 'YOLK')",1,0.0065,513.0,56.0
"('LAKE', 'SEA')",1,0.008,560.0,11.0
"('BIRD', 'DOG')",1,0.0125,595.0,8.0
"('AUNT', 'COUSIN')",1,0.0935,534.5,62.0
"('LIKE', 'WANT')",1,0.0085,608.0,16.0
"('SONG', 'VOICE')",1,0.01,599.5,29.0
"('GLASS', 'MIRROR')",1,0.033,602.0,30.0
"('GRASS', 'PASTURE')",1,0.044,500.5,37.0
"('ARM', 'ELBOW')",1,0.238,586.0,15.0
"('EAT', 'SLEEP')",1,0.0085,569.5,2.0
"('COLD', 'WIND')",1,0.017,609.0,95.0
"('CHOP', 'GRIND')",1,0.0135,486.5,114.0
"('BRAVE', 'MAN')",1,0.007,583.5,335.0
"('AFTERNOON', 'EVENING')",1,0.0615,642.5,33.0
"('DEEP', 'LOW')",1,0.0165,561.0,78.0
"('DO', 'GO')",1,0.0165,613.5,61.0
"('COLD', 'SNOW')",1,0.116,620.5,161.0
"('FRUIT', 'SEED')",1,0.0055,552.0,1.0
"('BLUE', 'RED')",1,0.183,600.0,42.0
"('BED', 'BLANKET')",1,0.051,599.5,13.0
"('THERE', 'WHERE')",1,0.05,605.5,40.0
"('SNAKE', 'WORM')",1,0.0545,499.5,10.0
"('COURT', 'JUDGE')",1,0.27049999999999996,544.0,3.0
"('BLACK', 'WHITE')",1,0.6060000000000001,596.5,2.0
"('COVER', 'FILL')",1,0.0085,559.0,130.0
"('BOAT', 'SHIP')",1,0.3505,568.5,22.0
"('PART', 'SOME')",1,0.0315,578.5,53.0
"('HAND', 'SEA')",1,0.0055,569.0,8.0
"('MARRY', 'WEDDING')",1,0.028999999999999998,532.0,147.0
